instruction,output
What is generative AI?,"Generative AI refers to models that learn data distributions and synthesize new content—text, images, audio, video, or code—that resembles the training data. Unlike discriminative models that predict labels, generative models explicitly learn P(x) or P(x|y). Examples include GPT-4 (text), DALL-E 3 (images), MusicLM (audio), and AlphaCode (code)."
I need help understanding what is the difference between closed-book and open-book QA? For a Generative AI course student.,Closed-book QA relies solely on model weights — the model answers from memory. Open-book QA provides documents or uses RAG to retrieve relevant passages — the model grounds answers in context. Open-book QA reduces hallucination and allows answering questions outside the training distribution.
Define the following: what is emergent behavior in LLMs? For a Generative AI course student.,"Emergent behaviors are capabilities that appear abruptly as model scale increases, not present in smaller models. Examples: multi-step arithmetic, chain-of-thought reasoning, code generation, instruction following. Emergence is related to phase transitions in the loss landscape. The threshold varies by task."
Can you explain what is the HuggingFace Transformers library? Give examples where relevant.,"HuggingFace Transformers provides a unified API to load thousands of pretrained models from the Model Hub. Key classes: AutoModelForCausalLM, AutoTokenizer, Trainer, TrainingArguments, pipeline. Supports PyTorch, TensorFlow, and JAX. Integrates with PEFT, TRL, and Datasets libraries."
"For a university exam, explain what is LoRA?","LoRA (Hu et al., 2021) injects trainable low-rank matrices into frozen weight matrices. For W in R^(d x k), LoRA adds delta_W = BA where B is R^(d x r), A is R^(r x k), r much less than min(d,k). The forward pass computes h = Wx + BAx. Only A and B are trained. r=16 with alpha=32 is a common choice."
Please explain what is a conditional GAN? Provide a detailed answer.,"In a CGAN, both G and D receive a class label y as input. G generates class-conditional samples; D discriminates real/fake conditioned on y. This allows targeted generation, e.g., ""generate digit 5"". StyleGAN uses AdaIN layers to inject style conditions at multiple resolutions."
Please explain what is context length and why does it matter? Explain technically.,"Context length (or context window) is the maximum number of tokens the model can attend to at once. Longer context enables processing entire documents, multi-turn conversations, and few-shot prompting with many examples. LLaMA-3 supports 128K tokens. Long context requires flash attention and positional encoding that generalizes (e.g., RoPE with YaRN)."
Please explain what is a language model? Explain with definitions.,"A language model assigns probabilities to sequences of tokens: P(w_1, w_2, ..., w_n). Modern neural language models are trained via next-token prediction: P(w_t | w_1, ..., w_{t-1}). They can generate text by sampling from the learned distribution. LLMs are very large language models trained on internet-scale data."
What is a GAN? Provide a detailed answer.,"A GAN (Goodfellow et al., 2014) consists of a Generator G(z) that maps noise z to data-like samples, and a Discriminator D(x) that classifies real vs fake. G is trained to fool D; D is trained to distinguish them. At equilibrium, G produces samples indistinguishable from real data."
I need help understanding compare VAEs and GANs. For a Generative AI course student.,"VAEs maximize a tractable ELBO, producing smoother latent spaces — easier to train and encode/decode. GANs use adversarial training, producing sharper samples. VAEs suffer from blurry reconstructions; GANs suffer from training instability and mode collapse. Both are widely used generative models."
Give a technical explanation of what is Mixture of Experts?,MoE replaces the dense FFN in each Transformer block with multiple expert FFNs and a sparse routing mechanism that activates only the top-k experts per token. Increases model capacity without proportional compute increase. Mixtral-8x7B uses MoE and outperforms LLaMA-2 70B with less compute.
What is meant by what is Byte-Pair Encoding? Explain with definitions.,"BPE starts with a character vocabulary and iteratively merges the most frequent adjacent pair of tokens into a new token, building a vocabulary of subword units. The process repeats until the vocabulary reaches a target size. GPT and GPT-2 use BPE. BPE handles rare words by splitting them into familiar subwords."
Can you explain what are the assessment components of the course?,"Assessment breakdown: Assignment 1 (RAG System) 30%, Assignment 2 (Fine-Tuning) 30%, Viva 10%, Mid-semester exam 15%, End-semester exam 15%. Total 100%."
Briefly describe what is LangChain?,"LangChain is a framework for building LLM applications. Core abstractions: Chains (sequential LLM calls), Agents (LLM selects tools), Memory (conversation history), Tools (external APIs), Vector stores (for RAG). Supports OpenAI, Anthropic, Groq, Ollama, and HuggingFace backends."
What is a GAN?,"A GAN (Goodfellow et al., 2014) consists of a Generator G(z) that maps noise z to data-like samples, and a Discriminator D(x) that classifies real vs fake. G is trained to fool D; D is trained to distinguish them. At equilibrium, G produces samples indistinguishable from real data."
What is likelihood-based training? Explain technically.,"Likelihood-based training maximizes log P(x; theta) over the training set. VAEs maximize the ELBO (a lower bound), autoregressive models maximize exact log-likelihood, and normalizing flows maximize exact likelihood via invertible transformations. Diffusion models optimize a variational bound on log-likelihood."
Please explain what is a Wasserstein GAN?,WGAN replaces the JS divergence with Earth Mover (Wasserstein-1) distance. The discriminator (now called critic) outputs an unbounded score. Training requires weight clipping or a gradient penalty (WGAN-GP) to enforce the Lipschitz constraint. WGAN provides a meaningful loss metric correlated with sample quality.
What is learning rate warm-up?,Learning rate warm-up gradually increases the LR from near-zero to the target LR over the first few steps. Prevents instability early in training. Common schedules: linear warm-up followed by cosine decay. Warmup of 5-10% of total steps is standard for LLM fine-tuning.
Please explain what is tokenization?,"Tokenization converts raw text into a sequence of integer IDs. Modern LLMs use subword tokenization: BPE (Byte-Pair Encoding, used in GPT), WordPiece (BERT), or SentencePiece (LLaMA). Subword methods balance vocabulary size with the ability to represent rare words by splitting them into common subword units."
Can you explain what is perplexity and how is it interpreted?,Perplexity = exp(-1/N * sum_i log P(w_i|context)). Lower perplexity means the model assigns higher probability to test text — it is less surprised. A perplexity of k means the model is as uncertain as a uniform distribution over k choices per token. It is an intrinsic metric and may not directly predict downstream performance.
Please explain what is the difference between BERT and GPT? For a Generative AI course student.,"BERT is encoder-only with bidirectional masked language modeling — reads the full sequence, best for understanding tasks (classification, NER, QA extraction). GPT is decoder-only with causal language modeling — generates tokens left to right, best for text generation and in-context learning."
What is tokenization?,"Tokenization converts raw text into a sequence of integer IDs. Modern LLMs use subword tokenization: BPE (Byte-Pair Encoding, used in GPT), WordPiece (BERT), or SentencePiece (LLaMA). Subword methods balance vocabulary size with the ability to represent rare words by splitting them into common subword units."
What is meant by what tools and platforms are used in the course labs?,"Platform: Google Colab (free T4 GPU). Frameworks: HuggingFace Transformers, PEFT, TRL, Datasets. LLM access: Groq API and Ollama. Vector databases: ChromaDB and FAISS. Embeddings: sentence-transformers. Optional: Weights and Biases for experiment tracking."
What is the AdamW optimizer? Be concise and precise.,"AdamW (Loshchilov & Hutter, 2019) decouples weight decay from the adaptive gradient update. Standard Adam applies weight decay through the gradient (L2 regularization), conflating it with adaptive scaling. AdamW applies weight decay directly to weights, making regularization more effective. Standard choice for LLM training."
What is the difference between BERT and GPT? Explain with clear definitions.,"BERT is encoder-only with bidirectional masked language modeling — reads the full sequence, powerful for understanding. GPT is decoder-only with causal language modeling — generates tokens left to right, powerful for generation and in-context learning. BERT has no generation capability; GPT can also do understanding via prompting."
"For a university exam, explain what is Ollama?","Ollama is a tool for running LLMs locally on consumer hardware. Supports quantized GGUF versions of LLaMA-3, Mistral, Gemma, and Phi models. Provides an OpenAI-compatible API. Useful for privacy-sensitive or offline use cases."
What are the main families of generative models? Explain technically.,"The four main families are: (1) GANs — adversarial generator-discriminator training; (2) VAEs — encoder-decoder with a probabilistic latent space; (3) Diffusion models — iterative denoising from Gaussian noise; (4) Autoregressive models — predict the next token given previous tokens (e.g., GPT)."
Define what is tokenization? Explain technically.,"Tokenization converts raw text into a sequence of integer IDs. Modern LLMs use subword tokenization: BPE (Byte-Pair Encoding, used in GPT), WordPiece (BERT), or SentencePiece (LLaMA). Subword methods balance vocabulary size with the ability to represent rare words by splitting them into common subword units."
What is Mixture of Experts? Explain technically.,MoE replaces the dense FFN in each Transformer block with multiple expert FFNs and a sparse routing mechanism that activates only the top-k experts per token. Increases model capacity without proportional compute increase. Mixtral-8x7B uses MoE and outperforms LLaMA-2 70B with less compute.
Briefly describe what is paged AdamW? Include relevant equations or pseudocode if helpful.,"Paged AdamW (bitsandbytes) keeps optimizer states in CPU RAM and pages them to GPU only when needed. Standard AdamW stores moment tensors on GPU (2x model size). Paged AdamW reduces peak GPU memory significantly, enabling larger batch sizes. Used with QLoRA."
Can you explain what is the difference between BERT and GPT? Explain with clear definitions.,"BERT is encoder-only with bidirectional masked language modeling — reads the full sequence, best for understanding tasks (classification, NER, QA extraction). GPT is decoder-only with causal language modeling — generates tokens left to right, best for text generation and in-context learning."
Please explain what is the reparameterization trick in VAEs? For a Generative AI course student.,"Sampling z ~ N(mu, sigma^2) is non-differentiable. The reparameterization trick rewrites z = mu + sigma * epsilon where epsilon ~ N(0,1). Gradients flow through mu and sigma deterministically; epsilon carries the randomness. This enables backpropagation through the sampling step."
Briefly describe what are the main families of generative models?,"The four main families are: (1) GANs — adversarial generator-discriminator training; (2) VAEs — encoder-decoder with a probabilistic latent space; (3) Diffusion models — iterative denoising from Gaussian noise; (4) Autoregressive models — predict the next token given previous tokens (e.g., GPT)."
"In simple terms, what is what are chunking strategies for RAG? Give examples where relevant.","Strategies: (1) Fixed-size with overlap (e.g., 512 tokens, 50-token overlap) — simple but may split sentences; (2) Recursive character splitting — splits at paragraphs, then sentences, then words; (3) Semantic chunking — splits when embedding similarity drops; (4) Document-structure-aware — splits at headers/sections. Overlap prevents context loss at chunk boundaries."
Briefly describe what is the difference between pretraining and fine-tuning? Include relevant equations or pseudocode if helpful.,"Pretraining learns general representations from massive unlabeled corpora via self-supervised objectives (next-token prediction, masked LM). Fine-tuning adapts the pretrained model to a specific task on a smaller labeled dataset, updating all or a subset of weights. Fine-tuning is much cheaper than pretraining from scratch."
"For a university exam, explain what is BERTScore? Include relevant equations or pseudocode if helpful.","BERTScore computes semantic similarity between generated and reference text using contextual BERT embeddings. For each token in the generated text it finds the most similar token in the reference via cosine similarity. Aggregates into Precision, Recall, and F1. More sensitive to paraphrasing than BLEU or ROUGE."
What is Byte-Pair Encoding?,"BPE starts with a character vocabulary and iteratively merges the most frequent adjacent pair of tokens into a new token, building a vocabulary of subword units. The process repeats until the vocabulary reaches a target size. GPT and GPT-2 use BPE. BPE handles rare words by splitting them into familiar subwords."
Briefly describe how does a generative model differ from a discriminative model? Give examples where relevant.,"Discriminative models learn P(y|x)—mapping inputs to labels. Generative models learn the full data distribution P(x) or joint P(x,y), allowing them to sample new examples. Generative models can do more (synthesis, density estimation) but are harder to train."
"As an AI student, explain what are BLEU and ROUGE metrics?","BLEU (Bilingual Evaluation Understudy) measures n-gram precision between generated and reference text, used mainly for translation. ROUGE (Recall-Oriented Understudy for Gisting Evaluation) measures recall and F1 of n-gram overlap, used mainly for summarization. ROUGE-L uses longest common subsequence. Both are reference-based and miss semantic equivalence."
I need help understanding what is a conditional GAN?,"In a CGAN, both G and D receive a class label y as input. G generates class-conditional samples; D discriminates real/fake conditioned on y. This allows targeted generation, e.g., ""generate digit 5"". StyleGAN uses AdaIN layers to inject style conditions at multiple resolutions."
What is a vector database? Be concise and precise.,"A vector database stores embeddings and supports approximate nearest-neighbor search. Options: ChromaDB (easy Python API, local persistence), FAISS (C++ optimized, billion-scale, IVF/HNSW), Pinecone (managed cloud), Qdrant (Rust, production-grade with payload filters), Weaviate (GraphQL interface)."
What is the attention mechanism in neural networks? For a GenAI student.,"Attention allows a model to weight different parts of the input differently when producing each output element. It computes a context vector as a weighted sum of value vectors, where weights are derived from the similarity between a query and key vectors. Attention removes the bottleneck of fixed-size encodings in seq2seq models."
I need help understanding what is the curse of dimensionality and how do generative models handle it? Include relevant equations or pseudocode if helpful.,"In high-dimensional spaces, data becomes sparse and distances lose meaning. Generative models handle this by learning compact latent representations (VAEs, GANs) or by factorizing the distribution autoregressively (GPT), making the problem tractable."
Define the following: what is LangChain? For a Generative AI course student.,"LangChain is a framework for building LLM applications. Core abstractions: Chains (sequential LLM calls), Agents (LLM selects tools), Memory (conversation history), Tools (external APIs), Vector stores (for RAG). Supports OpenAI, Anthropic, Groq, Ollama, and HuggingFace backends."
Can you explain what is the softmax function? Give examples.,"Softmax converts a vector of real numbers into a probability distribution: softmax(z_i) = exp(z_i) / sum_j(exp(z_j)). It ensures all outputs are positive and sum to 1. Used in classification heads, attention score normalization, and the final token prediction layer of LLMs."
What is Byte-Pair Encoding?,"BPE starts with a character vocabulary and iteratively merges the most frequent adjacent pair of tokens into a new token, building a vocabulary of subword units. The process repeats until the vocabulary reaches a target size. GPT and GPT-2 use BPE. BPE handles rare words by splitting them into familiar subwords."
"In simple terms, what is what is the curse of dimensionality and how do generative models handle it? Give examples where relevant.","In high-dimensional spaces, data becomes sparse and distances lose meaning. Generative models handle this by learning compact latent representations (VAEs, GANs) or by factorizing the distribution autoregressively (GPT), making the problem tractable."
Give a technical explanation of what are the course prerequisites? For a Generative AI course student.,"Prerequisites: intermediate Python, basic ML concepts (loss functions, gradient descent), linear algebra (matrix operations, eigenvalues), probability and statistics (distributions, Bayes theorem, MLE)."
What is the difference between closed-book and open-book QA? Give examples where relevant.,Closed-book QA relies solely on model weights — the model answers from memory. Open-book QA provides documents or uses RAG to retrieve relevant passages — the model grounds answers in context. Open-book QA reduces hallucination and allows answering questions outside the training distribution.
